id,title,year,imdb_id,tmdb_id
1359261,Star Trek: First Contact,1996,tt0117731,199
1269071,Naked Gun 33⅓: The Final Insult,1994,tt0110622,36593
1408905,The Naked Gun: From the Files of Police Squad!,1988,tt0095705,37136
1398177,The Hunt for Red October,1990,tt0099810,1669
1391930,The Fly,1986,tt0091064,9426
1389832,The Evil Dead,1981,tt0083907,764
1385180,The Craft,1996,tt0115963,9100
1359252,Star Trek IV: The Voyage Home,1986,tt0092007,168
1351502,Small Soldiers,1998,tt0122718,11551
1326347,Rosemary's Baby,1968,tt0063522,805
1297138,Patriot Games,1992,tt0105112,9869
1416929,The Running Man,1987,tt0093894,865
1315743,Rambo: First Blood Part II,1985,tt0089880,1369
1143429,Galaxy Quest,1999,tt0177789,926
1140323,Friday the 13th,1980,tt0080761,4488
1109420,Double Jeopardy,1999,tt0150377,10398
1404870,The Loved Ones,2010,tt1316536,46420
1367617,Swingers,1996,tt0117802,10218
1315739,Rambo III,1988,tt0095956,1370
1246117,Marathon Man,1976,tt0074860,10518
1219174,Labyrinth,1986,tt0091369,13597
1205862,Kiss the Girls,1997,tt0119468,9437
1196737,K-19: The Widowmaker,2002,tt0267626,8665
1396447,The Haunting,1999,tt0171363,11618
1359265,Star Trek: Insurrection,1998,tt0120844,200
1359262,Star Trek: Generations,1994,tt0111280,193
1359254,Star Trek VI: The Undiscovered Country,1991,tt0102975,174
1299857,Pet Sematary,1989,tt0098084,8913
1188974,Jacob's Ladder,1990,tt0099871,2291
129728,Animal House,1978,tt0077975,8469
1588061,The Contractor,2022,tt10323676,628900
1529815,Snake Eyes: G.I. Joe Origins,2021,tt8404256,568620
1452040,Urban Legend,1998,tt0146336,9877
1393586,The Gift,2000,tt0219699,2046
1376091,The Addams Family,2019,tt1620981,481084
1797746,We Will Dance Again,2024,tt31556612,1254258
1470793,Witness,1985,tt0090329,9281
1449149,Universal Soldier,1992,tt0105698,9349
1426786,The Warriors,1979,tt0080120,11474
1170111,Hot Rod,2007,tt0787475,10074
1130669,Fatal Attraction,1987,tt0093010,10998
1359249,Star Trek II: The Wrath of Khan,1982,tt0084726,154
1213084,La Bamba,1987,tt0093378,16620
1140327,Friday the 13th Part 2,1981,tt0082418,9725
1108839,Dora and the Lost City of Gold,2019,tt7547410,499701
1359271,Star Trek: The Motion Picture,1979,tt0079945,152
1264067,Murder on the Orient Express,1974,tt0071877,4176
1140335,Friday the 13th: The Final Chapter,1984,tt0087298,9730
129109,Angel Heart,1987,tt0092563,635
1653409,Honor Society,2022,tt16491324,929170
1600103,Mean Girls,2024,tt11762114,673593
1420687,The SpongeBob Movie: Sponge Out of Water,2015,tt2279373,228165
1705556,Dear Santa,2024,tt2396431,1097870
1336334,Scouts Guide to the Zombie Apocalypse,2015,tt1727776,273477
1309118,Project Almanac,2015,tt2436386,227719
1795942,Vicious,2025,tt31511689,1251717
3245328,Star Trek: Section 31,2025,tt9603060,1114894
1135289,Flashdance,1983,tt0085549,535
1111496,Drop Dead Gorgeous,1999,tt0157503,10490
1635032,Beavis and Butt-Head Do the Universe,2022,tt14145426,828947
1338753,Selena,1997,tt0120094,16052
1295169,Paranormal Activity: The Marked Ones,2014,tt2473682,227348
1273125,New Jack City,1991,tt0102526,10952
1649137,Significant Other,2022,tt15353964,901385
1579858,Spontaneous,2020,tt5774062,604578
1420686,The SpongeBob Movie: Sponge on the Run,2020,tt4823776,400160
1398195,The Hunted,2003,tt0269347,10632
194822,Death at a Funeral,2010,tt1321509,34803
179933,Comet,2014,tt2965412,276908
170994,Changing Lanes,2002,tt0264472,1537
145625,Beavis and Butt-Head Do America,1996,tt0115641,3179
