,id,imdb_id,title,primaryTitle,originalTitle,titleType,year,startYear,isAdult,runtimeMinutes,genres,averageRating,numVotes,directors,writers
127,1398669,tt0800080,The Incredible Hulk,The Incredible Hulk,The Incredible Hulk,movie,2008,2008,0,112,"['Action', 'Adventure', 'Sci-Fi']",6.6,553753,['nm0504642'],"['nm0672015', 'nm0498278', 'nm0456158']"
128,1370818,tt0398286,Tangled,Tangled,Tangled,movie,2010,2010,0,100,"['Adventure', 'Animation', 'Comedy']",7.7,531303,"['nm1977355', 'nm0397174']","['nm1557594', 'nm0342278', 'nm0342303']"
129,1359292,tt0121766,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,movie,2005,2005,0,140,"['Action', 'Adventure', 'Fantasy']",7.6,901083,['nm0000184'],['nm0000184']
130,1359291,tt0121765,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,movie,2002,2002,0,142,"['Action', 'Adventure', 'Fantasy']",6.6,803548,['nm0000184'],"['nm0000184', 'nm0355054']"
131,1357366,tt5814534,Spies in Disguise,Spies in Disguise,Spies in Disguise,movie,2019,2019,0,102,"['Action', 'Adventure', 'Animation']",6.8,61354,"['nm2939767', 'nm0702863']","['nm1909378', 'nm1248357', 'nm0178589', 'nm1124448']"
132,1357311,tt0413300,Spider-Man 3,Spider-Man 3,Spider-Man 3,movie,2007,2007,0,139,"['Action', 'Adventure', 'Sci-Fi']",6.3,683038,['nm0000600'],"['nm0000600', 'nm0706898', 'nm0765091', 'nm0498278', 'nm0228492']"
133,1357305,tt0316654,Spider-Man 2,Spider-Man 2,Spider-Man 2,movie,2004,2004,0,127,"['Action', 'Adventure', 'Sci-Fi']",7.5,763759,['nm0000600'],"['nm0498278', 'nm0228492', 'nm0332184', 'nm0587692', 'nm0149290', 'nm0765091']"
134,1302000,tt0383574,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,movie,2006,2006,0,151,"['Action', 'Adventure', 'Fantasy']",7.4,809599,['nm0893659'],"['nm0254645', 'nm0744429', 'nm0064181', 'nm0938684']"
135,1301999,tt0449088,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,movie,2007,2007,0,169,"['Action', 'Adventure', 'Fantasy']",7.1,730217,['nm0893659'],"['nm0254645', 'nm0744429', 'nm0064181', 'nm0938684']"
136,1292119,tt1623205,Oz the Great and Powerful,Oz the Great and Powerful,Oz the Great and Powerful,movie,2013,2013,0,130,"['Adventure', 'Family', 'Fantasy']",6.3,219592,['nm0000600'],"['nm0438449', 'nm1865755', 'nm0000875']"
137,1176749,tt0268380,Ice Age,Ice Age,Ice Age,movie,2002,2002,0,81,"['Adventure', 'Animation', 'Comedy']",7.5,552292,"['nm0917188', 'nm0757858']","['nm5022110', 'nm0073850', 'nm0010004', 'nm0107760', 'nm0174024', 'nm0797053', 'nm0862211', 'nm1154886', 'nm1157545']"
138,1129894,tt1502712,Fantastic Four,Fantastic Four,Fantastic Four,movie,2015,2015,0,100,"['Action', 'Adventure', 'Sci-Fi']",4.3,189572,['nm2503633'],"['nm2916300', 'nm1334526', 'nm2503633', 'nm0498278', 'nm0456158']"
139,176261,tt1661199,Cinderella,Cinderella,Cinderella,movie,2015,2015,0,105,"['Adventure', 'Drama', 'Family']",6.9,202132,['nm0000110'],"['nm0919363', 'nm0674518']"
140,168103,tt0317219,Cars,Cars,Cars,movie,2006,2006,0,116,"['Adventure', 'Animation', 'Comedy']",7.3,516950,"['nm0005124', 'nm0710020']","['nm0005124', 'nm0710020', 'nm0460146', 'nm1557594', 'nm1195697', 'nm1198436']"
141,1574402,tt3513500,Chip 'n Dale: Rescue Rangers,Chip 'n Dale: Rescue Rangers,Chip 'n Dale: Rescue Rangers,movie,2022,2022,0,97,"['Action', 'Adventure', 'Animation']",6.9,49936,['nm1676223'],"['nm2287168', 'nm3096061']"
142,1463287,tt1389137,We Bought a Zoo,We Bought a Zoo,We Bought a Zoo,movie,2011,2011,0,124,"['Comedy', 'Drama', 'Family']",7.0,158104,['nm0001081'],"['nm0112459', 'nm0001081', 'nm3349167']"
143,1419358,tt0462538,The Simpsons Movie,The Simpsons Movie,The Simpsons Movie,movie,2007,2007,0,87,"['Adventure', 'Animation', 'Comedy']",7.3,360053,['nm0798899'],"['nm0000985', 'nm0004981', 'nm0419830', 'nm0561631', 'nm0583127', 'nm0592400', 'nm0718514', 'nm0780288', 'nm0783468', 'nm0841990', 'nm0900140']"
144,1383529,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",movie,2005,2005,0,143,"['Adventure', 'Family', 'Fantasy']",6.9,449649,['nm0011470'],"['nm0668754', 'nm0011470', 'nm1321655', 'nm1321656', 'nm0507000']"
