,id,imdb_id,title,primaryTitle,originalTitle,titleType,year,startYear,isAdult,runtimeMinutes,genres,averageRating,numVotes,directors,writers
55,1608899,tt11466222,Jackass Forever,Jackass Forever,Jackass Forever,movie,2022,2022,0,96,"['Action', 'Comedy', 'Documentary']",6.8,53937,['nm0871860'],"['nm0010338', 'nm0960537', 'nm2207459', 'nm1079524', 'nm1029269', 'nm0257424', 'nm9301658', 'nm1030622', 'nm4953179', 'nm1035634', 'nm1029878', 'nm9265587', 'nm0546640', 'nm0569199', 'nm1719646', 'nm0690686', 'nm7567645', 'nm0828177', 'nm1017027', 'nm0871860', 'nm1336162', 'nm4926932', 'nm10559277']"
56,1593270,tt11152168,IF,IF,If,movie,2024,2024,0,104,"['Animation', 'Comedy', 'Drama']",6.4,61379,['nm1024677'],['nm1024677']
57,1480541,tt0443706,Zodiac,Zodiac,Zodiac,movie,2007,2007,0,157,"['Crime', 'Drama', 'Mystery']",7.7,647866,['nm0000399'],"['nm0888743', 'nm1172196']"
58,1461996,tt0407304,War of the Worlds,War of the Worlds,War of the Worlds,movie,2005,2005,0,117,"['Action', 'Adventure', 'Sci-Fi']",6.6,497093,['nm0000229'],"['nm0295264', 'nm0462895', 'nm0920229']"
59,1441124,tt0942385,Tropic Thunder,Tropic Thunder,Tropic Thunder,movie,2008,2008,0,107,"['Action', 'Comedy', 'War']",7.1,476340,['nm0001774'],"['nm0857620', 'nm0001774', 'nm1000113']"
60,1439257,tt3371366,Transformers: The Last Knight,Transformers: The Last Knight,Transformers: The Last Knight,movie,2017,2017,0,154,"['Action', 'Adventure', 'Comedy']",5.2,180758,['nm0000881'],"['nm1436466', 'nm0391344', 'nm0634307', 'nm0326040']"
61,1428531,tt1596365,The Woman in Black,The Woman in Black,The Woman in Black,movie,2012,2012,0,95,"['Drama', 'Fantasy', 'Horror']",6.4,197575,['nm1220140'],"['nm0384702', 'nm0963359']"
62,1406951,tt0472399,The Mechanic,The Mechanic,The Mechanic,movie,2011,2011,0,93,"['Action', 'Crime', 'Thriller']",6.5,180000,['nm0922346'],"['nm0921013', 'nm0137573']"
63,1359256,tt2660888,Star Trek Beyond,Star Trek Beyond,Star Trek Beyond,movie,2016,2016,0,122,"['Action', 'Adventure', 'Sci-Fi']",7.0,266501,['nm0510912'],"['nm0670408', 'nm1136647', 'nm0734472', 'nm0649460', 'nm4259881', 'nm4260438']"
64,1359246,tt0796366,Star Trek,Star Trek,Star Trek,movie,2009,2009,0,127,"['Action', 'Adventure', 'Sci-Fi']",7.9,632341,['nm0009190'],"['nm0649460', 'nm0476064', 'nm0734472']"
65,1348450,tt0401792,Sin City,Sin City,Sin City,movie,2005,2005,0,124,"['Crime', 'Thriller']",8.0,812547,"['nm0588340', 'nm0000233', 'nm0001675']","['nm0588340', 'nm0001675']"
66,1336409,tt1262416,Scream 4,Scream 4,Scream 4,movie,2011,2011,0,111,"['Horror', 'Mystery']",6.2,182974,['nm0000127'],['nm0932078']
67,1261298,tt5109784,mother!,Mother!,Mother!,movie,2017,2017,0,121,"['Drama', 'Horror', 'Mystery']",6.6,262270,['nm0004716'],['nm0004716']
68,1255999,tt0181689,Minority Report,Minority Report,Minority Report,movie,2002,2002,0,145,"['Action', 'Crime', 'Mystery']",7.6,608956,['nm0000229'],"['nm0291082', 'nm0169509', 'nm0001140']"
69,1250278,tt0377092,Mean Girls,Mean Girls,Mean Girls,movie,2004,2004,0,97,['Comedy'],7.1,470260,['nm0914132'],"['nm1577281', 'nm0275486']"
70,1153878,tt2191701,Grown Ups 2,Grown Ups 2,Grown Ups 2,movie,2013,2013,0,101,['Comedy'],5.4,184565,['nm0240797'],"['nm0937748', 'nm0001191', 'nm0379056']"
71,1105826,tt1136608,District 9,District 9,District 9,movie,2009,2009,0,112,"['Action', 'Sci-Fi', 'Thriller']",7.9,741097,['nm0088955'],"['nm0088955', 'nm2833612']"
72,140772,tt1284575,Bad Teacher,Bad Teacher,Bad Teacher,movie,2011,2011,0,92,"['Comedy', 'Romance']",5.7,219235,['nm0440458'],"['nm1969144', 'nm1072409']"
73,1142939,tt1583421,G.I. Joe: Retaliation,G.I. Joe: Retaliation,G.I. Joe: Retaliation,movie,2013,2013,0,110,"['Action', 'Adventure', 'Sci-Fi']",5.7,191139,['nm0160840'],"['nm1014201', 'nm1116660']"
74,1399501,tt0317740,The Italian Job,The Italian Job,The Italian Job,movie,2003,2003,0,111,"['Action', 'Crime', 'Thriller']",7.0,401725,['nm0336620'],"['nm0448392', 'nm0694526', 'nm0694638']"
75,1416013,tt0298130,The Ring,The Ring,The Ring,movie,2002,2002,0,115,"['Horror', 'Mystery']",7.1,393650,['nm0893659'],"['nm0472567', 'nm0840626', 'nm0847126']"
76,1367127,tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,movie,2007,2007,0,116,"['Drama', 'Horror', 'Musical']",7.3,400520,['nm0000318'],"['nm0517589', 'nm0923839', 'nm0093904']"
