id,title,year,imdb_id,tmdb_id,tmdb_type,type
1140284,Frida,2002,tt0120679,1360,movie,movie
116657,Addams Family Values,1993,tt0106220,2758,movie,movie
1391449,The Firm,1993,tt0106918,37233,movie,movie
1359261,Star Trek: First Contact,1996,tt0117731,199,movie,movie
1269071,Naked Gun 33⅓: The Final Insult,1994,tt0110622,36593,movie,movie
1408905,The Naked Gun: From the Files of Police Squad!,1988,tt0095705,37136,movie,movie
1398177,The Hunt for Red October,1990,tt0099810,1669,movie,movie
1391930,The Fly,1986,tt0091064,9426,movie,movie
1389832,The Evil Dead,1981,tt0083907,764,movie,movie
1385180,The Craft,1996,tt0115963,9100,movie,movie
1359252,Star Trek IV: The Voyage Home,1986,tt0092007,168,movie,movie
1351502,Small Soldiers,1998,tt0122718,11551,movie,movie
1326347,Rosemary's Baby,1968,tt0063522,805,movie,movie
1297138,Patriot Games,1992,tt0105112,9869,movie,movie
1416929,The Running Man,1987,tt0093894,865,movie,movie
1315743,Rambo: First Blood Part II,1985,tt0089880,1369,movie,movie
1143429,Galaxy Quest,1999,tt0177789,926,movie,movie
1140323,Friday the 13th,1980,tt0080761,4488,movie,movie
1109420,Double Jeopardy,1999,tt0150377,10398,movie,movie
1404870,The Loved Ones,2010,tt1316536,46420,movie,movie
1367617,Swingers,1996,tt0117802,10218,movie,movie
1315739,Rambo III,1988,tt0095956,1370,movie,movie
1246117,Marathon Man,1976,tt0074860,10518,movie,movie
1219174,Labyrinth,1986,tt0091369,13597,movie,movie
1205862,Kiss the Girls,1997,tt0119468,9437,movie,movie
1196737,K-19: The Widowmaker,2002,tt0267626,8665,movie,movie
1396447,The Haunting,1999,tt0171363,11618,movie,movie
1359265,Star Trek: Insurrection,1998,tt0120844,200,movie,movie
1359262,Star Trek: Generations,1994,tt0111280,193,movie,movie
1359254,Star Trek VI: The Undiscovered Country,1991,tt0102975,174,movie,movie
1299857,Pet Sematary,1989,tt0098084,8913,movie,movie
1188974,Jacob's Ladder,1990,tt0099871,2291,movie,movie
129728,Animal House,1978,tt0077975,8469,movie,movie
1588061,The Contractor,2022,tt10323676,628900,movie,movie
1529815,Snake Eyes: G.I. Joe Origins,2021,tt8404256,568620,movie,movie
1452040,Urban Legend,1998,tt0146336,9877,movie,movie
1393586,The Gift,2000,tt0219699,2046,movie,movie
1376091,The Addams Family,2019,tt1620981,481084,movie,movie
1797746,We Will Dance Again,2024,tt31556612,1254258,movie,movie
1470793,Witness,1985,tt0090329,9281,movie,movie
1449149,Universal Soldier,1992,tt0105698,9349,movie,movie
1426786,The Warriors,1979,tt0080120,11474,movie,movie
1170111,Hot Rod,2007,tt0787475,10074,movie,movie
1130669,Fatal Attraction,1987,tt0093010,10998,movie,movie
1359249,Star Trek II: The Wrath of Khan,1982,tt0084726,154,movie,movie
1213084,La Bamba,1987,tt0093378,16620,movie,movie
1140327,Friday the 13th Part 2,1981,tt0082418,9725,movie,movie
1108839,Dora and the Lost City of Gold,2019,tt7547410,499701,movie,movie
1359271,Star Trek: The Motion Picture,1979,tt0079945,152,movie,movie
1264067,Murder on the Orient Express,1974,tt0071877,4176,movie,movie
1140335,Friday the 13th: The Final Chapter,1984,tt0087298,9730,movie,movie
129109,Angel Heart,1987,tt0092563,635,movie,movie
1653409,Honor Society,2022,tt16491324,929170,movie,movie
1600103,Mean Girls,2024,tt11762114,673593,movie,movie
1420687,The SpongeBob Movie: Sponge Out of Water,2015,tt2279373,228165,movie,movie
1705556,Dear Santa,2024,tt2396431,1097870,movie,movie
1336334,Scouts Guide to the Zombie Apocalypse,2015,tt1727776,273477,movie,movie
1309118,Project Almanac,2015,tt2436386,227719,movie,movie
1795942,Vicious,2025,tt31511689,1251717,movie,movie
3245328,Star Trek: Section 31,2025,tt9603060,1114894,movie,movie
1135289,Flashdance,1983,tt0085549,535,movie,movie
1111496,Drop Dead Gorgeous,1999,tt0157503,10490,movie,movie
1635032,Beavis and Butt-Head Do the Universe,2022,tt14145426,828947,movie,movie
1338753,Selena,1997,tt0120094,16052,movie,movie
1295169,Paranormal Activity: The Marked Ones,2014,tt2473682,227348,movie,movie
